name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Đà Nẵng, Việt Nam",2000-01-01,25.0,19.1,21.5,25.0,19.1,21.5,19.6,89.3,0.7,100.0,4.17,['rain'],,,,21.6,10.5,,58.1,7.3,,,,,06:14:40,17:25:53,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['48855099999', '48852099999']"
"Đà Nẵng, Việt Nam",2000-01-02,22.1,19.2,21.0,22.1,19.2,21.0,19.7,92.4,0.825,100.0,16.67,['rain'],,,,14.4,3.2,,88.1,5.9,,,,,06:15:01,17:26:28,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48855099999', '48852099999']"
"Đà Nẵng, Việt Nam",2000-01-03,25.1,18.7,21.5,25.1,18.7,21.5,19.4,88.7,4.1,100.0,4.17,['rain'],,,,10.8,348.9,,86.1,6.6,,,,,06:15:23,17:27:04,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48855099999', '48852099999']"
"Đà Nẵng, Việt Nam",2000-01-04,26.1,17.9,22.9,26.1,17.9,22.9,19.9,84.7,0.0,0.0,0.0,,,,,14.4,117.6,,50.0,7.4,,,,,06:15:43,17:27:39,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48855099999', '48852099999']"
"Đà Nẵng, Việt Nam",2000-01-05,28.0,19.9,23.8,29.7,19.9,24.0,20.9,85.5,0.0,0.0,0.0,,,,,14.4,112.9,,41.1,7.9,,,,,06:16:02,17:28:15,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48855099999', '48852099999']"
"Đà Nẵng, Việt Nam",2000-01-06,27.1,18.4,23.1,29.3,18.4,23.3,21.3,90.5,0.0,0.0,0.0,,,,,14.4,123.5,,35.9,7.2,,,,,06:16:20,17:28:51,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48855099999', '48852099999']"
"Đà Nẵng, Việt Nam",2000-01-07,27.6,21.0,23.6,29.8,21.0,23.8,21.4,88.5,0.0,0.0,0.0,,,,,18.0,99.2,,52.1,8.1,,,,,06:16:37,17:29:27,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48855099999', '48852099999']"
"Đà Nẵng, Việt Nam",2000-01-08,26.1,20.4,23.3,26.1,20.4,23.3,20.5,85.0,0.0,0.0,0.0,,,,,18.0,135.6,,34.0,9.2,,,,,06:16:53,17:30:03,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48855099999', '48852099999']"
"Đà Nẵng, Việt Nam",2000-01-09,27.1,20.0,22.8,28.9,20.0,22.9,20.3,86.8,0.0,0.0,0.0,,,,,18.0,137.7,,29.5,8.1,,,,,06:17:08,17:30:39,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48855099999', '48852099999']"
"Đà Nẵng, Việt Nam",2000-01-10,28.1,18.1,23.3,29.3,18.1,23.5,20.3,84.8,0.0,0.0,0.0,,,,,14.4,127.0,,30.5,9.1,,,,,06:17:22,17:31:15,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48855099999', '48852099999']"
