name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hồ Chí Minh, Việt Nam",2000-01-01,32.1,23.1,27.0,36.9,23.1,29.5,23.8,83.9,,0.0,0.0,,,,,14.4,327.8,,56.5,6.6,,,,,06:11:15,17:41:28,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-02,32.6,23.1,28.0,38.0,23.1,30.9,23.4,77.5,,0.0,0.0,,,,,14.4,29.8,,45.8,9.6,,,,,06:11:39,17:42:01,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-03,32.1,23.1,28.1,36.9,23.1,30.9,23.3,77.0,,0.0,0.0,,,,,14.4,74.8,,39.5,8.8,,,,,06:12:03,17:42:34,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-04,33.1,24.7,27.6,38.2,24.7,29.7,23.7,80.6,,0.0,0.0,,,,,21.6,87.2,,57.4,7.2,,,,,06:12:25,17:43:07,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-05,32.1,24.1,28.3,38.0,24.1,31.4,23.9,78.0,,0.0,0.0,,,,,14.4,129.6,,51.0,7.0,,,,,06:12:47,17:43:39,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-06,31.9,25.1,28.0,37.3,25.1,30.9,23.8,78.4,,0.0,0.0,,,,,18.0,134.1,,57.8,10.2,,,,,06:13:08,17:44:12,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-07,31.1,25.1,27.7,36.7,25.1,30.6,23.9,80.3,,0.0,0.0,,,,,18.0,97.7,,61.1,9.5,,,,,06:13:29,17:44:45,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-08,32.1,23.1,27.2,36.9,23.1,29.6,23.4,80.5,,0.0,0.0,,,,,14.4,99.7,,46.5,8.7,,,,,06:13:48,17:45:17,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-09,32.1,23.1,27.1,35.9,23.1,28.5,22.1,75.3,,0.0,0.0,,,,,14.4,105.6,,51.1,8.7,,,,,06:14:07,17:45:50,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999']
"Hồ Chí Minh, Việt Nam",2000-01-10,32.4,23.9,28.9,37.1,23.9,31.7,22.4,68.6,,0.0,0.0,,,,,18.0,85.2,,48.8,8.2,,,,,06:14:25,17:46:22,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,['48900099999']
