name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,month,year,day,dayofweek
"Hà Nội, Việt Nam",2000-01-01,23.1,17.2,19.4,23.1,17.2,19.4,17.9,91.8,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,10.8,110.0,,63.6,4.4,112.5,9.7,4.0,60.0,06:33:30,17:26:01,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",1,2000,1,5
"Hà Nội, Việt Nam",2000-01-02,24.1,16.7,20.1,24.1,16.7,20.1,18.2,89.6,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,14.4,263.5,,52.3,4.3,112.5,9.7,4.0,60.0,06:33:50,17:26:39,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999', '48831099999']",1,2000,2,6
"Hà Nội, Việt Nam",2000-01-03,24.1,16.9,19.4,24.1,16.9,19.4,17.6,90.3,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,14.4,127.8,,39.5,2.1,112.5,9.7,4.0,60.0,06:34:08,17:27:16,0.88,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['48823099999', '48820099999']",1,2000,3,0
"Hà Nội, Việt Nam",2000-01-04,22.3,17.1,19.9,22.3,17.1,19.9,18.4,91.0,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,21.6,80.4,,72.4,3.8,112.5,9.7,4.0,60.0,06:34:26,17:27:55,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",1,2000,4,1
"Hà Nội, Việt Nam",2000-01-05,24.1,19.2,21.9,24.1,19.2,21.9,20.3,91.2,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,18.0,141.2,,90.1,4.9,112.5,9.7,4.0,60.0,06:34:42,17:28:33,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",1,2000,5,2
"Hà Nội, Việt Nam",2000-01-06,26.1,20.2,23.0,26.1,20.2,23.0,20.5,86.5,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,21.6,146.6,,69.2,7.6,112.5,9.7,4.0,60.0,06:34:57,17:29:12,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",1,2000,6,3
"Hà Nội, Việt Nam",2000-01-07,23.1,19.2,21.0,23.1,19.2,21.0,19.7,92.7,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,18.0,124.0,,84.9,5.0,112.5,9.7,4.0,60.0,06:35:11,17:29:52,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48820099999', '48823099999']",1,2000,7,4
"Hà Nội, Việt Nam",2000-01-08,24.1,19.1,21.7,24.1,19.1,21.7,20.4,92.7,0.7,100.0,4.17,['rain'],0.0,0.0,33.5,21.6,141.0,,92.2,5.8,112.5,9.7,4.0,60.0,06:35:24,17:30:31,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['48823099999', '48820099999']",1,2000,8,5
"Hà Nội, Việt Nam",2000-01-09,26.1,20.1,22.3,26.1,20.1,22.3,21.1,93.2,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,25.2,141.4,,93.6,5.5,112.5,9.7,4.0,60.0,06:35:35,17:31:11,0.08,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",1,2000,9,6
"Hà Nội, Việt Nam",2000-01-10,25.1,20.0,22.0,25.1,20.0,22.0,20.9,93.8,0.5,100.0,4.17,['rain'],0.0,0.0,33.5,25.2,127.5,,90.1,5.7,112.5,9.7,4.0,60.0,06:35:45,17:31:51,0.12,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"['48823099999', '48820099999']",1,2000,10,0
