### Correlation Matrix ###
                   tempmax   tempmin      temp  feelslikemax  feelslikemin  feelslike       dew  humidity    precip  precipprob  precipcover  snow  snowdepth  windgust  windspeed   winddir  sealevelpressure  cloudcover  visibility  solarradiation  solarenergy   uvindex  severerisk  moonphase
tempmax           1.000000  0.866979  0.964896      0.947289      0.832840   0.929524  0.777431 -0.238113 -0.055317   -0.141634    -0.012946   NaN        NaN  0.048590   0.133824  0.109555               NaN   -0.387009    0.476033        0.585816     0.585455  0.539212    0.584907  -0.000565
tempmin           0.866979  1.000000  0.951407      0.875986      0.963025   0.924991  0.893908 -0.002271  0.048404    0.059807     0.069099   NaN        NaN  0.114805   0.150302  0.115369               NaN   -0.095898    0.404909        0.385237     0.384929  0.347347    0.523265   0.003113
temp              0.964896  0.951407  1.000000      0.939745      0.915879   0.969204  0.857633 -0.154194 -0.010776   -0.057681     0.013823   NaN        NaN  0.073387   0.132845  0.104110               NaN   -0.271617    0.462949        0.515783     0.515428  0.468770    0.571342   0.001291
feelslikemax      0.947289  0.875986  0.939745      1.000000      0.848284   0.960352  0.843205 -0.074032 -0.024473   -0.067693     0.023445   NaN        NaN  0.059594   0.155638  0.115945               NaN   -0.273690    0.473021        0.509226     0.508732  0.460292    0.690465   0.002425
feelslikemin      0.832840  0.963025  0.915879      0.848284      1.000000   0.925253  0.829289 -0.060990  0.021862    0.048467     0.053136   NaN        NaN  0.082521   0.131391  0.102096               NaN   -0.109627    0.394662        0.391621     0.391316  0.344817    0.536114   0.003623
feelslike         0.929524  0.924991  0.969204      0.960352      0.925253   1.000000  0.842422 -0.131880 -0.028545   -0.030398     0.015849   NaN        NaN  0.050791   0.127550  0.095400               NaN   -0.247254    0.472706        0.496548     0.496078  0.441294    0.662795   0.003322
dew               0.777431  0.893908  0.857633      0.843205      0.829289   0.842422  1.000000  0.372905  0.119937    0.125795     0.128805   NaN        NaN  0.115698   0.133905  0.135027               NaN    0.012384    0.260780        0.277232     0.276841  0.247479    0.546240  -0.001673
humidity         -0.238113 -0.002271 -0.154194     -0.074032     -0.060990  -0.131880  0.372905  1.000000  0.271397    0.340025     0.225564   NaN        NaN  0.094317   0.014303  0.076375               NaN    0.500573   -0.347912       -0.386850    -0.386959 -0.360166    0.149310  -0.005558
precip           -0.055317  0.048404 -0.010776     -0.024473      0.021862  -0.028545  0.119937  0.271397  1.000000    0.248382     0.185247   NaN        NaN  0.220596   0.134102  0.052870               NaN    0.203499   -0.121812       -0.232881    -0.232806 -0.225078   -0.062493  -0.010293
precipprob       -0.141634  0.059807 -0.057681     -0.067693      0.048467  -0.030398  0.125795  0.340025  0.248382    1.000000     0.487133   NaN        NaN  0.193627   0.043577  0.056855               NaN    0.358696   -0.118178       -0.391432    -0.391452 -0.367460    0.139544  -0.002945
precipcover      -0.012946  0.069099  0.013823      0.023445      0.053136   0.015849  0.128805  0.225564  0.185247    0.487133     1.000000   NaN        NaN  0.172430   0.084361  0.081522               NaN    0.163160   -0.040255       -0.226971    -0.226851 -0.239384    0.002628  -0.000325
snow                   NaN       NaN       NaN           NaN           NaN        NaN       NaN       NaN       NaN         NaN          NaN   NaN        NaN       NaN        NaN       NaN               NaN         NaN         NaN             NaN          NaN       NaN         NaN        NaN
snowdepth              NaN       NaN       NaN           NaN           NaN        NaN       NaN       NaN       NaN         NaN          NaN   NaN        NaN       NaN        NaN       NaN               NaN         NaN         NaN             NaN          NaN       NaN         NaN        NaN
